cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;dez/15;1.460.160.399;72.879.769;133.293.791;338.434.468;459.036.459;237.790;456.278.122
C%;C - Conglomerado;dez/15;67,00%;44,81%;70,82%;69,92%;51,83%;83,89%;99,53%
I;I - Instituição independente;dez/15;719.028.009;89.776.559;54.924.628;145.567.597;426.557.213;45.650;2.156.362
I%;I - Instituição independente;dez/15;33,00%;55,19%;29,18%;30,08%;48,17%;16,11%;0,47%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;1.687.449.768;120.188.635;167.897.626;403.287.323;537.472.203;269.148;458.334.833
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;77,43%;73,89%;89,20%;83,32%;60,69%;94,96%;99,98%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;48.431.675;6.132.926;9.264.553;19.760.677;13.172.708;1.160;99.650
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;2,22%;3,77%;4,92%;4,08%;1,49%;0,41%;0,02%
b3S;b3S - Cooperativa de Crédito Singulares;dez/15;25.746.925;4.035.511;7.783.299;11.105.953;2.811.102;11.060;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/15;1,18%;2,48%;4,14%;2,29%;0,32%;3,90%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/15;1.174.238;145.670;93.419;520.320;414.828;2;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/15;0,05%;0,09%;0,05%;0,11%;0,05%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/15;406.583.608;31.201.491;2.172.506;44.438.451;328.771.120;39;0
b4%;b4 - Banco de Desenvolvimento;dez/15;18,66%;19,18%;1,15%;9,18%;37,12%;0,01%;0,00%
n1;n1 - Não Bancário de Crédito;dez/15;9.801.468;951.926;1.007.015;4.889.341;2.951.156;2.030;0
n1%;n1 - Não Bancário de Crédito;dez/15;0,45%;0,59%;0,54%;1,01%;0,33%;0,72%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;dez/15;725;169;0;0;555;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;dez/15;1.048.491.372;91.148.589;95.679.639;220.459.093;576.809.462;61.520;64.333.069
1%;1 - Público;dez/15;48,11%;56,04%;50,83%;45,55%;65,13%;21,70%;14,03%
2;2 - Privado Nacional;dez/15;815.833.857;47.353.346;64.014.181;167.717.118;190.199.320;180.271;346.369.622
2%;2 - Privado Nacional;dez/15;37,44%;29,11%;34,01%;34,65%;21,48%;63,60%;75,55%
3;3 - Privado com Controle Estrangeiro;dez/15;314.863.179;24.154.393;28.524.600;95.825.854;118.584.890;41.649;47.731.793
3%;3 - Privado com Controle Estrangeiro;dez/15;14,45%;14,85%;15,16%;19,80%;13,39%;14,69%;10,41%
