cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;jun/14;1.167.542.953;85.596.306;136.994.585;344.770.685;371.137.253;230.501;228.813.622
C%;C - Conglomerado;jun/14;67,15%;56,30%;71,33%;76,87%;51,88%;82,40%;99,29%
I;I - Instituição independente;jun/14;571.108.762;66.439.777;55.057.013;103.729.084;344.204.619;49.231;1.629.038
I%;I - Instituição independente;jun/14;32,85%;43,70%;28,67%;23,13%;48,12%;17,60%;0,71%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;1.350.290.764;120.655.883;172.460.220;389.932.886;436.738.320;265.572;230.237.883
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;77,66%;79,36%;89,80%;86,94%;61,05%;94,94%;99,91%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;53.882.234;5.730.421;12.198.686;23.094.572;12.650.443;3.334;204.777
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;3,10%;3,77%;6,35%;5,15%;1,77%;1,19%;0,09%
b3S;b3S - Cooperativa de Crédito Singulares;jun/14;19.221.860;5.167.849;4.682.915;6.412.860;2.948.660;9.576;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/14;1,11%;3,40%;2,44%;1,43%;0,41%;3,42%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/14;945.860;57.219;88.789;394.998;404.853;1;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/14;0,05%;0,04%;0,05%;0,09%;0,06%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/14;305.547.632;19.763.985;1.859.010;24.215.362;259.709.224;51;0
b4%;b4 - Banco de Desenvolvimento;jun/14;17,57%;13,00%;0,97%;5,40%;36,31%;0,02%;0,00%
n1;n1 - Não Bancário de Crédito;jun/14;8.760.414;660.726;761.978;4.449.091;2.887.419;1.199;0
n1%;n1 - Não Bancário de Crédito;jun/14;0,50%;0,43%;0,40%;0,99%;0,40%;0,43%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;jun/14;2.952;0;0;0;2.952;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;jun/14;854.842.323;79.347.844;99.134.864;175.769.734;456.136.905;72.228;44.380.748
1%;1 - Público;jun/14;49,17%;52,19%;51,62%;39,19%;63,76%;25,82%;19,26%
2;2 - Privado Nacional;jun/14;625.125.163;53.403.390;61.639.072;175.222.781;176.732.060;161.947;157.965.913
2%;2 - Privado Nacional;jun/14;35,95%;35,13%;32,10%;39,07%;24,71%;57,89%;68,55%
3;3 - Privado com Controle Estrangeiro;jun/14;258.684.230;19.284.849;31.277.662;97.507.254;82.472.907;45.557;28.096.000
3%;3 - Privado com Controle Estrangeiro;jun/14;14,88%;12,68%;16,29%;21,74%;11,53%;16,29%;12,19%
