cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;mar/19;1.189.174.697;32.478.049;90.103.722;231.914.709;419.929.567;44.603.552;29.004;370.116.092
C%;C - Conglomerado;mar/19;67,02%;56,79%;67,05%;72,86%;50,29%;76,57%;86,83%;99,68%
I;I - Instituição independente;mar/19;585.297.874;24.709.847;44.278.709;86.378.464;415.102.907;13.650.679;4.400;1.172.869
I%;I - Instituição independente;mar/19;32,98%;43,21%;32,95%;27,14%;49,71%;23,43%;13,17%;0,32%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;1.365.134.201;43.107.831;106.567.097;261.707.636;537.709.825;44.721.613;31.237;371.288.961
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;76,93%;75,38%;79,30%;82,22%;64,39%;76,77%;93,51%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;45.403.719;5.418.763;6.684.230;22.483.231;10.769.561;47.930;3;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;2,56%;9,48%;4,97%;7,06%;1,29%;0,08%;0,01%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;mar/19;45.983.160;7.590.924;17.699.353;18.102.650;2.333.320;254.863;2.049;0
b3S%;b3S - Cooperativa de Crédito Singulares;mar/19;2,59%;13,27%;13,17%;5,69%;0,28%;0,44%;6,14%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/19;955.137;15.086;94.072;830.568;15.246;164;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/19;0,05%;0,03%;0,07%;0,26%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;mar/19;307.366.439;272.089;2.134.689;9.698.932;282.051.022;13.209.706;0;0
b4%;b4 - Banco de Desenvolvimento;mar/19;17,32%;0,48%;1,59%;3,05%;33,78%;22,68%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;mar/19;9.627.154;783.176;1.202.989;5.470.156;2.150.766;19.953;114;0
n1%;n1 - Não Bancário de Crédito;mar/19;0,54%;1,37%;0,90%;1,72%;0,26%;0,03%;0,34%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;mar/19;2.761;27;0;0;2.734;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;mar/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;mar/19;0;0;0;0;0;0;0;0
n4%;n4 - Instituições de Pagamento;mar/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;mar/19;753.548.666;14.498.171;49.572.479;98.718.137;543.506.214;13.532.405;3.924;33.717.337
1%;1 - Público;mar/19;42,47%;25,35%;36,89%;31,01%;65,09%;23,23%;11,75%;9,08%
2;2 - Privado Nacional;mar/19;767.645.205;32.695.889;58.940.210;144.588.825;185.295.367;41.021.151;24.033;305.079.729
2%;2 - Privado Nacional;mar/19;43,26%;57,17%;43,86%;45,43%;22,19%;70,42%;71,95%;82,17%
3;3 - Privado com Controle Estrangeiro;mar/19;253.278.699;9.993.836;25.869.742;74.986.211;106.230.894;3.700.675;5.447;32.491.894
3%;3 - Privado com Controle Estrangeiro;mar/19;14,27%;17,48%;19,25%;23,56%;12,72%;6,35%;16,31%;8,75%
