Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;41518;15969151;3458951;6791070;329362;399899;1226499;28174933;-11351330;-991020;-3343962;0;-4496751;-20183063;7991870;3035882;1819159;-2670809;-3756333;-824568;1302043;3985364;-6126981;-3236242;4755628;278093;5033721;-752451;-700880;3580390;-1003606
BB;49906;b1;;C;1;BRASILIA;DF;41518;16652834;208997;7093828;-159109;270738;1251807;25319095;-13503570;-1872199;-173056;0;-3426063;-18974887;6344208;2993834;1574502;-4112361;-3445768;-868107;665397;2419975;-1965303;-2737832;3606376;42815;3649191;-582812;-325138;2741241;-886279
BRADESCO;10045;b1;;C;2;OSASCO;SP;41518;13307542;2051636;7354809;-239571;578691;835016;23888124;-10791257;-905546;-1859199;0;-3236374;-16792376;7095748;1920368;1530140;-2770789;-3643605;-642808;1696200;1023727;-2422561;-3309328;3786420;-125860;3660560;-590079;0;3070481;-1078705
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41518;12574363;0;5194733;384707;0;1674162;19827965;-9747324;-2322831;0;-138764;-2355391;-14564310;5263655;3481996;726941;-3956313;-2049345;-624763;116780;1996925;-3273802;-3581582;1682073;25600;1707673;347695;-190009;1865359;-309489
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41518;9840738;1008253;4388380;239840;91234;642312;16210757;-6461242;-203856;-1303778;0;-3495856;-11464732;4746026;1844304;722654;-1549056;-3259815;-788418;42870;2034502;-3039321;-3992279;753747;438886;1192632;-124486;-224200;843946;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41518;9063188;0;1735692;8928;0;0;10807808;-556769;-8133626;0;-18706;-94702;-8803803;2004006;40555;0;-267244;-112599;-108396;510967;386924;-446747;3461;2007467;6507;2013973;-389877;0;1624097;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41518;2695160;517707;1043832;71630;52598;2300;4383228;-2162041;-154843;-489991;0;-895137;-3702012;681216;123510;133396;-240900;-350722;-106395;29793;155066;-647874;-904126;-222910;-13999;-236909;159870;-82077;-159115;0
HSBC;51152;b1;;C;3;CURITIBA;PR;41518;2630877;307725;817128;-4441;173144;145777;4070209;-1519869;-74877;-272532;0;-1053375;-2920653;1149555;240593;387606;-757836;-1066173;-177516;143868;559197;-516396;-1186657;-37102;-53120;-90222;-13332;-92835;-196388;0
