Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;;C;1;BRASILIA;DF;01/12/2014;44539674;230798;24461590;683079;0;2781635;72696775;-40268237;-12597673;-157569;-326988;-9436398;-62786865;9909910;6883206;3321497;-9266553;-8224950;-1815463;3655711;6833804;-5171243;-3783993;6125917;72870;6198787;376856;-742505;5833139;-1891988
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/12/2014;38916772;4059726;18088256;719968;1482601;2702311;65969633;-31702109;-11165410;-4030699;0;-10483520;-57381738;8587895;6962937;4378123;-6157374;-8747405;-2464675;8301530;13616802;-14849389;1040548;9628444;273285;9901729;2125095;-1715621;10311204;-1780434
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/12/2014;33868737;0;15334117;2352988;0;4693625;56249467;-31307868;-6635744;0;-1329934;-6725992;-45999538;10249929;7881377;1754644;-9340738;-3977964;-1421157;436076;4554148;-7277223;-7390838;2859091;-328759;2530331;2015000;-843013;3702318;-1241040
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/12/2014;30445632;2227050;19615505;-2488546;1605530;2089173;53494344;-28271216;-10293150;-1919878;0;-7523887;-48008131;5486213;4531292;3442117;-6533567;-7563312;-1169663;9377765;3969239;-5654691;399181;5885394;-306459;5578935;2301369;0;7880304;-2028893
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/12/2014;33384372;0;4005055;-688370;31273;0;36732331;-1067133;-29414174;0;0;-669536;-31150844;5581487;146695;0;-456441;-207015;-335235;-262705;927737;-716802;-903765;4677722;4280;4682002;-1403438;-156335;3122228;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/12/2014;20246406;1582943;10318261;-169833;1050125;1494557;34522460;-19853253;-1407971;-1406557;0;-4423146;-27090928;7431532;3851351;1481445;-3254120;-6440272;-1351905;167183;7203485;-9621445;-7964279;-532746;129430;-403316;2052026;-429741;1218969;-723976
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/12/2014;5948978;871212;1970326;683468;195984;0;9669968;-5672168;-234987;-875633;0;-1162179;-7944967;1725001;249532;294550;-683603;-609988;-193226;72641;723918;-1446008;-1592184;132817;-35568;97248;212160;-99399;210010;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/12/2014;5259488;463189;2350095;782569;0;410142;9265482;-4686257;-417351;-396562;-112613;-1990675;-7603457;1662025;589533;766601;-2059655;-2450622;-331708;226346;1293596;-954293;-2920202;-1258176;-59625;-1317801;828224;-43208;-532785;-500000
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/12/2014;3317598;314529;3773779;-611222;503961;49381;7348026;-5304327;-479240;-269109;0;-1008158;-7060834;287192;231833;130555;-744938;-513698;-98759;648995;606944;-296716;-35786;251406;-33948;217458;612725;0;830183;-379382
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/12/2014;2846585;26062;947856;301818;179977;325826;4628125;-1887761;-399813;-19145;0;-170680;-2477399;2150726;75541;338711;-753672;-547178;-131159;116622;216660;-818552;-1503027;647699;-2468;645231;-129534;-52152;463545;-136016
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/12/2014;1115636;0;4026097;-1124994;1078;9987;4027803;-4049447;-2169615;0;0;-317035;-6536097;-2508294;1078306;22379;-264958;-422920;-163889;1694551;1561314;-276461;3228322;720029;26851;746880;1011477;-196974;1561384;-298200
BMG;30290;b1;;C;2;SAO PAULO;SP;01/12/2014;2584897;5334;186167;436169;18957;0;3231525;-1349055;-18780;-4789;0;-418393;-1791017;1440508;14804;38869;-93432;-1016462;-24576;72487;106210;-425051;-1327150;113359;-4004;109355;37046;-739;145662;-85500
