Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41791;38985621;679693;18662546;-724596;862635;2887011;61352910;-36278534;-1919119;-606041;0;-9166866;-47970560;13382350;7735861;3167505;-8936365;-8469406;-1846416;355273;9147578;-6465605;-5311573;8070777;125768;8196545;-1775284;-774236;5647025;-1782048
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41791;34394946;4400112;16210470;1165272;334820;3192212;59697832;-25422698;-1689389;-4246706;0;-8432268;-39791061;19906771;8862147;4016391;-5597772;-9704284;-2236319;-27738;12721529;-13107670;-5073715;14833056;228873;15061929;-4130456;-2720135;8211338;-2597056
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41791;28114377;2852550;14529368;1063382;0;2221748;48781424;-21759341;-799553;-2510322;-222106;-6850173;-32141495;16639929;5695138;3181104;-5698685;-7540726;-1753147;804207;5265105;-5644453;-5691458;10948471;-216640;10731832;-3505229;0;7226603;-1566898
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41791;30753134;0;13304987;-893139;299977;4242683;47707641;-24366512;-5450286;0;0;-6429669;-36246467;11461174;7286883;1544999;-8534090;-4823391;-1397532;277540;4374241;-6439927;-7711277;3749897;-285891;3464006;277490;-352030;3389467;-752710
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41791;19670290;1538982;7551891;677481;1226063;1697665;32362373;-13692493;-551142;-1618937;0;-5515529;-21378102;10984271;3590050;1414753;-3002889;-6137935;-1688147;130290;4829996;-7130500;-7994382;2989889;341414;3331303;-1181336;-546402;1603565;-167
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41791;18376570;0;7373336;463499;68864;0;26282269;-883159;-14386454;0;0;-114319;-15383932;10898337;83831;0;-670118;-272122;-461695;6057;2010430;-3827682;-3131299;7767037;307677;8074714;-2587431;-15797;5471485;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41791;4762783;547742;2421614;24125;392381;432268;8580914;-4214909;-434116;-479770;0;-1131146;-6259941;2320973;577422;734503;-1563840;-2212229;-330443;254000;921026;-564165;-2183725;137248;-35006;102241;52509;-171046;-16296;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41791;6007990;806376;2042439;-343360;0;278;8513724;-4335455;-113088;-791167;-8294;-1602379;-6850383;1663342;209961;265561;-636270;-537311;-189677;75201;682781;-1206984;-1336737;326604;141755;468360;-67242;-108681;292437;0
