Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;;C;1;BRASILIA;DF;01/12/2016;54534318;155494;33887055;-566365;404799;2770797;91186098;-59638687;-5252486;-85311;0;-14520506;-79496990;11689108;6264938;4466576;-12266527;-8544682;-2272810;2655622;8538528;-6420494;-7578850;4110258;13229;4123487;-409484;-388764;3325239;-943389
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/12/2016;43537706;1461112;26470122;2896424;2450146;3702579;80518089;-40869241;-4577786;-1639206;0;-11222281;-58308514;22209574;8725772;5381291;-9055825;-10269614;-2853287;3940324;23311312;-27834855;-8654882;13554693;330692;13885385;-1478688;-2663620;9743077;-5438459
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/12/2016;48421812;0;22377249;-1129903;189330;7100192;76958680;-44101405;-9755882;0;0;-10042010;-63899296;13059384;8982005;2611048;-10983814;-5574074;-1826637;315594;3341655;-6736042;-9870265;3189119;-158623;3030496;-535278;-784700;1710519;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/12/2016;41350173;1406571;26542757;2836297;1047384;3142894;76326077;-43639891;-2524655;-1187687;0;-13732292;-61084525;15241552;5635049;4796257;-9119841;-11141575;-2182879;5766068;3690707;-7677073;-10233287;5008265;-787880;4220384;2610941;0;6831326;-4069993
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/12/2016;22961664;1106255;13654330;1700208;0;3745019;43167476;-26222338;-1339924;-898714;-313878;-7428132;-36202986;6964489;4463929;1840684;-3793349;-5176708;-1605931;453306;13565566;-12999010;-3251514;3712975;-443564;3269411;410960;-577786;3102584;-3452826
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/12/2016;28720981;0;13332905;-216762;0;1;41837124;-1852214;-28261201;0;-392703;-4568839;-35074957;6762167;140811;0;-684512;-187557;-528255;2989264;497207;-824546;1402412;8164579;-2079;8162500;565052;-161966;8565585;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/12/2016;3561683;882402;5225740;15057;102217;124482;9911580;-6757666;-304370;-777115;0;-563989;-8403140;1508440;413550;148007;-1016423;-765224;-166863;367837;872486;-438600;-585231;923209;-471;922738;-54751;0;867987;-672307
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/12/2016;5541533;66095;2493691;-100266;37071;26408;8064533;-5106597;-177229;-63651;0;-1814540;-7162017;902517;260595;341472;-653296;-638163;-167193;125587;899452;-936795;-768341;134175;-3877;130298;153712;-52606;231404;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/12/2016;3557072;17432;1406608;-46901;73291;620502;5628004;-2760642;-158872;-14364;0;-529717;-3463595;2164409;76529;434227;-973837;-635787;-164548;146740;149743;-818902;-1785834;378575;-5473;373102;-55375;-47661;270066;-95062
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/12/2016;604313;0;2541055;896984;427109;100352;4569812;-3335797;-135523;0;0;-75523;-3546842;1022970;837140;4675;-231039;-746405;-252443;-1011;1393449;-707568;296798;1319768;447165;1766932;-167566;-202501;1396865;-890000
