cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;jun/13;1.090.145.174;86.995.814;131.489.209;334.215.632;316.049.630;233.909;221.160.979
C%;C - Conglomerado;jun/13;69,06%;59,68%;75,13%;86,40%;48,68%;83,03%;99,86%
I;I - Instituição independente;jun/13;488.500.590;58.770.218;43.528.864;52.608.342;333.240.536;47.810;304.819
I%;I - Instituição independente;jun/13;30,94%;40,32%;24,87%;13,60%;51,32%;16,97%;0,14%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;1.229.941.503;106.818.874;156.618.420;354.549.144;390.398.803;268.688;221.287.574
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;77,91%;73,28%;89,49%;91,66%;60,13%;95,37%;99,92%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;50.418.585;6.339.953;11.155.233;18.891.805;13.850.434;2.936;178.225
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;3,19%;4,35%;6,37%;4,88%;2,13%;1,04%;0,08%
b3S;b3S - Cooperativa de Crédito Singulares;jun/13;14.881.304;4.613.469;3.258.454;4.199.492;2.801.863;8.026;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/13;0,94%;3,16%;1,86%;1,09%;0,43%;2,85%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/13;995.157;512.037;36.427;189.124;257.569;1;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/13;0,06%;0,35%;0,02%;0,05%;0,04%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/13;274.572.172;26.743.760;1.459.598;5.537.036;240.831.753;24;0
b4%;b4 - Banco de Desenvolvimento;jun/13;17,39%;18,35%;0,83%;1,43%;37,09%;0,01%;0,00%
n1;n1 - Não Bancário de Crédito;jun/13;7.835.831;736.969;2.489.833;3.457.374;1.149.611;2.044;0
n1%;n1 - Não Bancário de Crédito;jun/13;0,50%;0,51%;1,42%;0,89%;0,18%;0,73%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;jun/13;1.213;971;108;0;134;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;jun/13;740.572.205;79.504.403;82.411.695;119.876.484;418.210.230;73.331;40.496.062
1%;1 - Público;jun/13;46,91%;54,54%;47,09%;30,99%;64,41%;26,03%;18,29%
2;2 - Privado Nacional;jun/13;603.553.645;47.532.978;58.977.972;176.898.165;162.245.482;168.430;157.730.619
2%;2 - Privado Nacional;jun/13;38,23%;32,61%;33,70%;45,73%;24,99%;59,79%;71,22%
3;3 - Privado com Controle Estrangeiro;jun/13;234.519.914;18.728.651;33.628.406;90.049.326;68.834.454;39.959;23.239.117
3%;3 - Privado com Controle Estrangeiro;jun/13;14,86%;12,85%;19,21%;23,28%;10,60%;14,18%;10,49%
