Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/12/2012;31847564;7990667;12815083;-523251;586551;2122205;54838818;-18499429;-1926601;-7103915;0;-11864913;-39394858;15443961;5307624;2943048;-5779454;-7667687;-1777543;3820473;6125338;-11033987;-8062189;7381772;283173;7664945;506270;-1222330;6948886;-2206749
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/12/2012;25256200;4708811;13882134;-927987;458646;1558827;44936631;-17528445;-1659917;-4151322;0;-6936060;-30275745;14660886;3702797;2706063;-5191182;-6945319;-1512424;3098152;1448755;-6810852;-9504009;5156877;-171538;4985339;777909;0;5763247;-1712807
BB;49906;b1;;C;1;BRASILIA;DF;01/12/2012;30002782;402583;11427138;-385332;255820;2471783;44174773;-22325400;-2192260;-308033;0;-5738719;-30564412;13610362;5568862;3251738;-7961304;-6757157;-1689974;691464;4942036;-3023908;-4978242;8632119;1174437;9806556;-2101472;-869863;6835222;-1663098
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/12/2012;17993809;0;9446739;-527229;16805;2663965;29594089;-13659699;-3196811;0;0;-4044925;-20901435;8692654;6238985;1192350;-7300019;-4149665;-1006267;44067;4045382;-5623305;-6558471;2134183;-18139;2116045;1760236;-656574;3219706;-554386
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/12/2012;20187997;2203123;5992239;-27949;0;1207535;29562946;-9836769;-429235;-2867525;-86649;-6331623;-19551802;10011144;3546513;1501645;-3268577;-6134104;-1532950;95996;2697128;-6556425;-9650775;360369;1228513;1588882;159664;-401222;1347324;-471072
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/12/2012;16067823;0;7630154;-423976;0;0;23274001;-753562;-15292061;0;-1720;-100294;-16147637;7126364;108150;0;-345116;-154570;-343267;1073472;209515;-736486;-188302;6938062;-3647;6934415;-1417284;-77147;5439984;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/12/2012;4969450;691905;1968346;-203153;378852;376658;8182058;-2842228;-336592;-577446;0;-1770474;-5526739;2655319;471854;761077;-1424282;-2169388;-296014;325645;1402873;-940931;-1869166;786153;-29763;756390;39029;-173366;622052;-310000
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/12/2012;4811550;1001808;2559754;-457487;54959;66066;8036650;-3812389;-307210;-1039140;0;-2397871;-7556609;480041;268899;273913;-499315;-812507;-209078;40236;452903;-1257647;-1742596;-1262555;-67110;-1329665;660910;-186857;-855612;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/12/2012;2827919;1397728;1491220;-171039;122363;60042;5728234;-2371485;-300672;-1364318;0;-612593;-4649068;1079165;280192;107356;-523010;-423989;-147080;101624;686302;-152733;-71336;1007829;-6542;1001288;-317064;0;684223;-346756
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/12/2012;266110;0;3465847;-208782;0;21925;3545100;-1935133;-631193;0;-1411;-119539;-2687277;857823;1173556;16502;-430926;-325898;-121284;-64742;830222;-80342;997088;1854911;-11867;1843044;-418253;-324239;1100552;-220000
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/12/2012;2015415;54871;1064871;111344;180873;39963;3467336;-618085;-184037;-44017;0;-812773;-1658913;1808424;625889;268661;-697821;-986657;-207773;20918;379800;-654860;-1251843;556580;12409;568989;-207757;-94570;266663;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/12/2012;2328402;28178;501660;-204038;33447;142263;2829912;-846258;-274842;-20598;0;-191084;-1332782;1497130;60087;325545;-652280;-408830;-123069;21982;367069;-519741;-929236;567895;-2987;564908;-121660;-44241;399006;-122948
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;01/12/2012;1957738;43329;243744;-132233;134601;0;2247179;-1186727;-1736;-44674;0;-674650;-1907788;339392;8717;39863;-67858;-751200;-26302;-8857;147583;-361316;-1019371;-679979;-3953;-683932;386186;-3020;-300766;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;01/12/2012;1311813;211128;416178;135755;24576;0;2099451;-994840;-9030;-175785;0;-680814;-1860469;238981;39605;127829;-105677;-628998;-47544;45178;56392;-128643;-641857;-402876;-70880;-473756;208637;-1302;-266421;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;01/12/2012;1456528;467648;37734;24000;0;0;1985910;-415257;-309043;-442681;0;-283126;-1450107;535802;0;76312;-80;-162726;-22811;-66918;9073;-267115;-434265;101538;-21640;79898;-55386;0;24512;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;01/12/2012;1181145;0;632264;-4286;58126;8178;1875427;-406447;-311493;0;0;-374089;-1092029;783398;681061;15622;-730172;-401639;-117036;0;612055;-618163;-558273;225125;2191;227316;83155;-48114;262357;-64973
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;01/12/2012;173531;0;1269440;129612;61951;0;1634534;-896544;-236733;0;0;14878;-1118399;516135;615132;0;-415249;-84651;-61397;130035;7198;-245729;-54660;461474;-2555;458920;-63143;-50911;344865;-174417
BIC;32119;b1;;C;2;SAO PAULO;SP;01/12/2012;798163;109315;175893;230980;80167;39;1394558;-512906;-82670;-73458;0;-360089;-1029123;365434;22188;12970;-107619;-113253;-56421;24;17171;-107341;-332282;33153;757;33910;8960;0;42870;-52000
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;01/12/2012;1016591;4485;146050;43427;2378;5167;1218098;-442816;-2210;-3805;0;-247815;-696646;521451;27237;33138;-180447;-213992;-6472;5140;31212;-134841;-439025;82426;-28660;53766;-6908;-16069;30789;-15672
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;01/12/2012;675640;97460;256398;-104179;155114;0;1080434;-265419;-137992;-70512;0;-158765;-632688;447746;205065;22329;-149958;-294176;-44489;4331;117728;-138556;-277725;170020;-1466;168555;-22364;-13795;132395;-67055
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;01/12/2012;777442;0;166397;65201;61042;0;1070081;-400041;-39690;0;0;-208566;-648297;421784;11287;22928;-81785;-152813;-50786;6613;131124;-22112;-135543;286241;-6867;279374;-81525;-16944;180906;-51646
BRB;31976;b1;;C;1;BRASILIA;DF;01/12/2012;818099;0;89849;0;678;9256;917882;-230217;-1167;0;0;-132167;-363550;554332;14817;63573;-280469;-145099;-40684;15764;27074;-66505;-411530;142802;-14557;128246;-12945;-14981;100319;-21349
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;01/12/2012;492270;363330;16351;-200;0;0;871751;-220972;0;-346244;0;-88884;-656100;215651;10324;47780;-485;-195211;-32472;-25906;61060;-67157;-202068;13583;735;14318;11986;0;26304;-44530
