Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41699;19104701;345793;8822608;-93247;425580;1419714;30025150;-17483355;-944319;-307826;0;-4408080;-23143580;6881570;3717175;1551517;-4435111;-4295414;-763938;-7047;4917561;-3487618;-2802875;4078695;93579;4172275;-1010206;-384733;2777336;-882332
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41699;16878841;2266714;7602380;620489;218710;1555643;29142776;-12377294;-996048;-2168581;0;-4124513;-19666437;9476340;4355542;1919093;-2734464;-4835136;-1098714;-89427;8506530;-7943334;-1919911;7556429;164187;7720616;-2014279;-1915289;3791048;-2597056
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41699;13735093;1493249;6969858;309699;0;1082075;23589975;-10534402;-502032;-1316657;-141657;-3229321;-15724069;7865905;2832495;1572179;-2749544;-3751326;-846410;337242;2960919;-3035366;-2679812;5186093;-94448;5091646;-1645372;0;3446274;-1212201
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41699;14542028;0;6099450;-42418;149939;2040289;22789288;-11800965;-2684810;0;0;-2478216;-16963990;5825298;3533566;752570;-4286409;-2367920;-709821;157472;2217799;-3108415;-3811157;2014141;-67722;1946418;-193621;-242523;1510275;-348402
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41699;9854107;774362;4965282;365524;746650;796852;17502777;-7659234;-269615;-838154;0;-3005193;-11772196;5730582;1777518;700385;-1454361;-3082807;-840010;54920;2187980;-3531256;-4187631;1542950;186908;1729858;-658463;-274278;797117;-51
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41699;9564020;0;2490629;519094;41811;0;12615554;-605837;-7157039;0;0;8476;-7754401;4861153;53347;0;-347108;-160901;-140699;-209354;1227924;-2684871;-2261661;2599492;5635;2605126;-1049947;0;1555179;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41699;2421572;288319;1209440;-134416;274701;202513;4262130;-2028002;-225743;-253793;0;-579487;-3087025;1175105;277217;367678;-768697;-1080647;-158953;115443;475119;-312068;-1084908;90197;-17983;72213;-15318;-88019;-31124;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41699;2794469;415722;970650;31805;0;278;4212923;-2117763;-59259;-406264;-10509;-773484;-3367279;845644;86438;139019;-325895;-271149;-93987;41102;378336;-689601;-735736;109908;142233;252141;-54000;-45885;152256;0
