Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42339;55971369;214183;32577931;1096109;2062196;2712092;94633881;-51365998;-24112286;-128623;0;-14897305;-90504212;4129669;8870978;3850979;-10688060;-8651124;-2148429;3627203;9184624;-8648034;-4601862;-472194;-21632;-493825;6877818;-721137;5662856;-2233168
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42339;44857325;0;17418184;6855422;1755227;6294405;77180563;-45699539;-10681506;0;0;-10074089;-66455133;10725430;8646173;2216251;-10134549;-5311233;-1719867;761201;3284253;-9439950;-11697722;-972291;-393316;-1365607;5247926;-837259;3045060;-941532
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42339;43756157;1750594;24146708;-4347863;3605076;3077355;71988026;-39238229;-21085461;-3514602;0;-14389325;-78227618;-6239591;11235063;4870332;-7749233;-11584683;-2663581;6319242;23936594;-18729373;5634361;-605230;777896;172666;13089331;-2400708;10861289;-3310406
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42339;52576151;0;8281663;2340241;284237;12;63482305;-1297629;-51179677;0;0;-1267074;-53744380;9737924;226212;0;-920189;-301192;-609613;-7488218;2076808;-748432;-7764625;1973299;27639;2000939;981105;-298085;2683959;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42339;35624323;1353853;19776976;-5447604;4908231;2568586;58784364;-31515969;-18638258;-1117575;0;-11576289;-62848092;-4063728;7602038;4081805;-6977446;-9213664;-1980000;14437179;2794758;-8566047;2178624;-1885104;-311651;-2196755;10669766;0;8473010;-3127113
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42339;23193518;1161122;13629408;-7011543;0;2796879;33769385;-29545405;-2287041;-970451;-1156957;-7741803;-41701658;-7932273;4339246;1494512;-3423109;-5445837;-1203603;-272984;20757883;-13414397;2831711;-5100561;473774;-4626788;7842404;-724943;2490674;-1470061
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42339;6390905;177728;2725689;1595248;271297;0;11160867;-7594926;-171195;-180192;0;-1823419;-9769732;1391136;232073;266775;-727866;-624478;-163338;78822;969546;-2014702;-1983168;-592032;-11259;-603292;890356;-73121;213943;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42339;6197702;327200;3530667;376663;0;589562;11021794;-5925799;-851122;-257681;-548439;-2191563;-9774604;1247190;844519;746862;-2056224;-2770660;-302090;91128;1988812;-1392714;-2850367;-1603177;-76186;-1679363;912276;-11445;-778533;0
