Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41883;23404917;363808;12349484;621516;0;1503061;38242786;-20895601;-6787583;-329511;-32315;-4729157;-32774168;5468619;4111552;1718232;-4732298;-4200165;-1020200;1270827;3618419;-3106678;-2340311;3128308;24980;3153288;87643;-380244;2860686;-941310
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41883;18979807;2057969;8270007;210851;922180;1606115;32046931;-15120114;-5783139;-2046721;0;-4647438;-27597412;4449519;4756745;2123832;-3058914;-4958774;-864170;3161265;6070169;-6609122;621030;5070549;150625;5221174;723746;-918995;5025925;-1780434
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41883;16512277;0;7208915;1230386;0;2364543;27316120;-15103381;-3269550;0;-655151;-3281155;-22309237;5006883;3905789;845037;-4316477;-1495171;-723942;191106;1903693;-3098913;-2788877;2218006;-124881;2093125;160022;-355168;1897979;-592340
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41883;15143935;1200327;8413884;-1227622;800119;1094011;25424653;-12898012;-5619512;-1041556;0;-3753288;-23312369;2112284;3036463;1693928;-3533476;-3783606;-666372;4002725;3200492;-3155959;794194;2906479;-97659;2808820;1069536;0;3878356;-1364090
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41883;17604688;0;2371552;-253227;12185;0;19735198;-425372;-15526673;0;0;112171;-15839874;3895324;58422;0;-339823;-149005;-190826;45651;647290;-939464;-867755;3027569;166739;3194308;-1266345;0;1927963;0
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41883;10032900;1714877;4755028;-227899;677304;847092;17799301;-9560412;-900130;-1623003;0;-2089006;-14172552;3626749;1819312;740392;-1558866;-3410123;-676429;57481;3908869;-4847487;-3966851;-340102;84737;-255365;1096927;-251499;590063;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41883;2948824;460745;929141;385336;100628;0;4824675;-2803946;-116532;-463135;0;-542247;-3925861;898815;120283;141328;-362109;-362009;-93963;35911;497593;-735338;-758305;140510;-27176;113334;71559;-49781;135112;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41883;2787918;251245;1269148;224033;0;224918;4757262;-2243262;-205684;-218235;-27721;-1083738;-3778638;978624;298079;381032;-871772;-1192196;-163220;79258;598220;-659148;-1529746;-551122;-131936;-683058;352579;-73979;-404458;0
