Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;41061;33265052;7744628;12728323;-505226;1317549;3348032;57898357;-23313000;-2232832;-6432513;0;-11669924;-43648269;14250088;5405644;2789929;-5019126;-7457023;-1657122;2494448;6320654;-8564604;-5687200;8562888;405341;8968229;-129234;-2125122;6713873;-2337040
BB;49906;b1;;C;1;BRASILIA;DF;41061;30414464;476260;13689979;-104803;0;3327652;47803552;-24480173;-4636775;-357710;-188573;-5422761;-35085991;12717561;5531948;3072976;-7346824;-7124168;-1642921;999939;4771253;-2917348;-4655145;8062416;79877;8142293;-1801266;-710329;5630698;-1690693
BRADESCO;10045;b1;;C;2;OSASCO;SP;41061;24946891;5055108;15145726;-2148441;903963;2276508;46179755;-19153615;-4567713;-4398150;0;-6912432;-35031909;11147846;3468509;2435728;-4904063;-6486287;-1333231;4361061;2000768;-4733476;-5190991;5956855;-133343;5823512;-194149;0;5629363;-1548500
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41061;20837060;1099233;6024165;-566531;811023;1778097;29983046;-14723529;-582504;-1659148;0;-7600457;-24565638;5417409;3222600;1522615;-2987819;-5817481;-1440893;258213;6284818;-6563432;-5521379;-103970;1039657;935687;1084711;-569073;1451324;-570000
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41061;16590307;0;9834965;-904021;9522;3022332;28553104;-13375359;-3359229;0;0;-3634996;-20369584;8183520;5769030;1080237;-6217996;-3615086;-971182;152975;3181067;-4688674;-5309628;2873893;-92146;2781746;358028;-293426;2846348;-552065
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41061;20299506;0;4100663;-939781;17374;0;23477762;-845887;-19600885;0;0;-381239;-20828011;2649751;244577;0;-283133;-128404;-145306;1659867;242956;-406298;1184258;3834009;11532;3845541;-1095434;-6595;2743512;0
HSBC;51152;b1;;C;3;CURITIBA;PR;41061;5314609;689346;2281851;192589;81257;733950;9293602;-4008253;-539611;-538478;0;-1816453;-6902795;2390807;525556;732214;-1316475;-1876553;-324585;326064;2124354;-1744026;-1553450;837357;-32306;805052;-38344;-164248;602460;-190000
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41061;6281850;983295;2498454;-1431215;105388;184994;8622767;-4987079;-788131;-679794;0;-3025045;-9480048;-857282;244114;247889;-478797;-721171;-161413;30145;894716;-1005702;-950219;-1807501;-72403;-1879904;954724;-206981;-1132162;0
