cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;mar/21;1.576.866.956;53.688.725;161.686.015;305.622.579;562.841.205;15.964.448;5.704;477.058.279
C%;C - Conglomerado;mar/21;70,14%;56,93%;65,13%;71,86%;57,86%;52,42%;91,63%;99,96%
I;I - Instituição independente;mar/21;671.458.430;40.614.448;86.554.267;119.695.432;409.910.738;14.490.746;521;192.278
I%;I - Instituição independente;mar/21;29,86%;43,07%;34,87%;28,14%;42,14%;47,58%;8,37%;0,04%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;1.793.992.808;72.761.048;195.628.805;347.650.521;684.108.396;16.703.925;5.686;477.134.428
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;79,79%;77,16%;78,81%;81,74%;70,33%;54,85%;91,33%;99,98%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;57.312.078;5.729.181;11.209.378;27.056.696;12.862.098;338.592;3;116.129
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;2,55%;6,08%;4,52%;6,36%;1,32%;1,11%;0,06%;0,02%
b3S;b3S - Cooperativa de Crédito Singulares;mar/21;91.177.545;13.698.238;36.039.342;29.946.829;5.206.334;6.286.515;287;0
b3S%;b3S - Cooperativa de Crédito Singulares;mar/21;4,06%;14,53%;14,52%;7,04%;0,54%;20,64%;4,60%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/21;2.127.026;164.280;24.083;1.886.133;52.365;164;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/21;0,09%;0,17%;0,01%;0,44%;0,01%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;mar/21;291.321.532;532.907;2.782.209;13.026.718;267.982.435;6.997.263;1;0
b4%;b4 - Banco de Desenvolvimento;mar/21;12,96%;0,57%;1,12%;3,06%;27,55%;22,98%;0,02%;0,00%
n1;n1 - Não Bancário de Crédito;mar/21;12.388.941;1.414.870;2.554.556;5.750.562;2.539.979;128.735;238;0
n1%;n1 - Não Bancário de Crédito;mar/21;0,55%;1,50%;1,03%;1,35%;0,26%;0,42%;3,83%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;mar/21;346;346;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;mar/21;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;mar/21;5.110;2.303;1.908;551;338;0;10;0
n4%;n4 - Instituições de Pagamento;mar/21;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,16%;0,00%
1;1 - Público;mar/21;779.830.113;25.523.324;71.893.771;112.752.680;532.993.332;10.133.831;478;26.532.697
1%;1 - Público;mar/21;34,68%;27,07%;28,96%;26,51%;54,79%;33,27%;7,68%;5,56%
2;2 - Privado Nacional;mar/21;1.092.561.101;54.243.833;129.692.535;216.247.178;286.843.520;15.567.327;3.641;389.963.066
2%;2 - Privado Nacional;mar/21;48,59%;57,52%;52,24%;50,84%;29,49%;51,12%;58,48%;81,71%
3;3 - Privado com Controle Estrangeiro;mar/21;375.934.172;14.536.016;46.653.976;96.318.152;152.915.092;4.754.035;2.107;60.754.793
3%;3 - Privado com Controle Estrangeiro;mar/21;16,72%;15,41%;18,79%;22,65%;15,72%;15,61%;33,84%;12,73%
