Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42156;47025982;207729;28420110;259766;668576;2385406;78967570;-44815284;-14085756;-126452;0;-10880367;-69907859;9059710;8251981;3320090;-9904674;-7884433;-2614130;3101486;8249090;-6444358;-3924948;5134763;5765812;10900574;-991524;-1105639;8803411;-2212070
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42156;39706060;2470697;21221467;66744;1365131;2671815;67501914;-33007514;-12213731;-2619386;0;-9443064;-57283694;10218220;9922837;4615107;-6580762;-9893482;-2278823;5074329;20153841;-18426164;2586882;12805102;386221;13191323;1547406;-3757586;10981144;-2939632
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42156;39524883;0;17353810;2019157;0;5140712;64038562;-34625490;-7575090;0;-1957628;-9582927;-53741135;10297427;8018304;1980055;-9628111;-5095035;-1619311;317307;4809171;-8354431;-9572049;725378;-252703;472675;2759157;-435226;2796606;-816147
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42156;31955183;1585222;20305650;-1588147;1790116;2035409;56083433;-28184027;-10353080;-1316318;0;-7973094;-47826520;8256913;7015098;3642195;-6200104;-8143816;-1970779;9279366;3355405;-7653453;-676088;7580825;-137146;7443679;1274575;0;8718254;-1996206
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42156;38422263;0;7939457;-407431;246301;0;46200589;-1424300;-34648855;0;0;-650127;-36723282;9477307;159720;0;-732485;-271880;-498636;-937649;939477;-802704;-2144157;7333150;458780;7791930;-4252867;-24495;3514568;0
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42156;20967785;1290194;10137622;-1783715;244770;1518656;32375312;-21099660;-870338;-1097323;0;-5154166;-28221487;4153825;3929782;1396386;-3189076;-6013353;-1116131;-182527;17720918;-11947577;598422;4752247;112384;4864631;411274;-529203;4746702;-2059
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42156;5576853;402211;3135005;1044939;0;413846;10572854;-5071835;-589721;-326788;-168741;-2229147;-8386232;2186623;800349;757145;-1842689;-2127868;-356679;195134;1821459;-1616122;-2369272;-182649;-32052;-214701;255384;-36658;4024;-5
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42156;6235726;443938;2384965;485785;238052;0;9788467;-6182826;-185952;-443404;0;-1202858;-8015040;1773427;210791;251884;-642580;-571270;-199436;77050;508725;-1050245;-1415080;358347;-17491;340855;45395;-118474;267776;0
