cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;set/17;1.106.032.105;59.737.557;98.855.352;246.894.436;404.814.402;45.195;295.685.162
C%;C - Conglomerado;set/17;64,19%;58,01%;69,99%;73,84%;47,77%;68,31%;99,54%
I;I - Instituição independente;set/17;616.981.128;43.231.662;42.380.402;87.453.041;442.539.529;20.967;1.355.526
I%;I - Instituição independente;set/17;35,81%;41,99%;30,01%;26,16%;52,23%;31,69%;0,46%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;1.311.081.584;74.503.964;122.688.708;283.910.001;532.873.408;64.815;297.040.689
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/17;76,09%;72,36%;86,87%;84,91%;62,89%;97,96%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;37.480.534;3.706.549;5.247.068;20.413.346;8.113.450;122;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/17;2,18%;3,60%;3,72%;6,11%;0,96%;0,18%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;set/17;30.849.776;5.324.805;10.299.973;13.817.093;1.406.732;1.173;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/17;1,79%;5,17%;7,29%;4,13%;0,17%;1,77%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/17;1.089.409;82.121;67.745;931.144;8.399;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/17;0,06%;0,08%;0,05%;0,28%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;set/17;332.774.246;18.591.892;1.888.371;10.150.654;302.143.328;1;0
b4%;b4 - Banco de Desenvolvimento;set/17;19,31%;18,06%;1,34%;3,04%;35,66%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;set/17;9.737.633;759.838;1.043.890;5.125.240;2.808.614;51;0
n1%;n1 - Não Bancário de Crédito;set/17;0,57%;0,74%;0,74%;1,53%;0,33%;0,08%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;set/17;49;49;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;set/17;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;set/17;840.948.132;38.425.258;60.719.530;116.908.983;594.020.905;21.399;30.852.057
1%;1 - Público;set/17;48,81%;37,32%;42,99%;34,97%;70,10%;32,34%;10,39%
2;2 - Privado Nacional;set/17;658.564.651;51.054.609;57.973.975;143.481.093;160.368.171;40.145;245.646.658
2%;2 - Privado Nacional;set/17;38,22%;49,58%;41,05%;42,91%;18,93%;60,68%;82,70%
3;3 - Privado com Controle Estrangeiro;set/17;223.500.449;13.489.352;22.542.250;73.957.401;92.964.854;4.619;20.541.974
3%;3 - Privado com Controle Estrangeiro;set/17;12,97%;13,10%;15,96%;22,12%;10,97%;6,98%;6,92%
