cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;dez/16;1.226.096.468;56.055.548;106.907.957;288.631.812;430.769.634;29.143;343.702.374
C%;C - Conglomerado;dez/16;64,66%;40,48%;68,05%;65,37%;52,93%;153,02%;99,53%
I;I - Instituição independente;dez/16;670.160.942;82.418.086;50.204.190;152.895.091;383.021.566;-10.098;1.632.108
I%;I - Instituição independente;dez/16;35,34%;59,52%;31,95%;34,63%;47,07%;-53,02%;0,47%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;1.456.470.145;105.915.459;139.839.448;349.660.913;515.716.714;17.946;345.319.667
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;76,81%;76,49%;89,01%;79,19%;63,37%;94,23%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;41.228.053;4.331.169;6.018.568;22.257.856;8.605.642;4;14.815
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;2,17%;3,13%;3,83%;5,04%;1,06%;0,02%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;dez/16;28.938.168;4.638.139;8.580.083;12.289.057;3.429.822;1.066;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/16;1,53%;3,35%;5,46%;2,78%;0,42%;5,60%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/16;1.061.242;121.720;68.895;491.513;379.115;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/16;0,06%;0,09%;0,04%;0,11%;0,05%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/16;358.496.475;22.637.159;1.600.932;51.425.627;282.832.756;1;0
b4%;b4 - Banco de Desenvolvimento;dez/16;18,91%;16,35%;1,02%;11,65%;34,75%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;dez/16;10.063.001;829.946;1.004.221;5.401.938;2.826.868;28;0
n1%;n1 - Não Bancário de Crédito;dez/16;0,53%;0,60%;0,64%;1,22%;0,35%;0,15%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;dez/16;325;44;0;0;282;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;dez/16;913.410.718;83.329.146;79.709.604;202.182.070;512.720.662;-9.314;35.478.550
1%;1 - Público;dez/16;48,17%;60,18%;50,73%;45,79%;63,00%;-48,91%;10,27%
2;2 - Privado Nacional;dez/16;745.576.083;41.804.099;53.739.818;162.861.634;203.703.437;24.360;283.442.734
2%;2 - Privado Nacional;dez/16;39,32%;30,19%;34,20%;36,89%;25,03%;127,91%;82,08%
3;3 - Privado com Controle Estrangeiro;dez/16;237.270.609;13.340.390;23.662.724;76.483.199;97.367.100;3.999;26.413.198
3%;3 - Privado com Controle Estrangeiro;dez/16;12,51%;9,63%;15,06%;17,32%;11,96%;21,00%;7,65%
