Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2012;233964533;3391810;6424515;674551;4580680;7907734;6146461;0;29125750;1051489;1845554;287190;1957937;439287;27663;0;5609120;61639;216130;534336;930581;155281;0;0;1897969;1464756;7155438;17954749;46329194;41774688;63274186;4394298;182347309;482671;3748228;924036;22862;79;0;0;5177876;0;47;73;0;0;0;0;120;1290406;2931542;2369685;2435195;689529;83729;6304;9806389;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2012;173524080;187142;3523614;9711173;19293054;9733308;2910587;0;45358879;402342;2752309;7433978;8941860;3671129;1409742;2;24611361;33568;955564;2568568;3971233;973236;0;0;8502170;6918;164506;381915;977198;923011;3858515;2203175;8515238;1018907;11049447;1561077;6141;10;0;0;13635583;598793;8981906;21783764;16071812;10717577;9330894;1019459;68504207;253453;993533;2313726;576373;201198;58340;21;4396643;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2012;159507682;113348;945815;2308936;4578610;2071292;17914;0;10035915;732098;2512377;4474718;5803238;703297;3777;0;14229504;1527728;5958808;14660160;26542484;5311899;5079;0;54006158;34238;387903;909968;2085292;1878402;6505872;4885786;16687462;3861670;27864506;9012851;117574;28;0;0;40856628;5066;50388;86941;74359;65216;98341;0;380310;1450041;5024981;2415278;3876561;782345;3418;0;13552624;9759081
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2012;111937168;328999;1511591;3716903;5700946;1886891;377280;5390;13527999;1679250;1525035;3156386;5009908;1030067;111922;1527;12514097;681296;4203743;10406362;14870383;2570950;4968;5436;32743139;25156;504387;1170838;2429519;1731262;3864906;1193044;10919112;1721063;10412717;2134593;305145;97511;40784;2298;14714110;24004;674625;714301;573562;114061;75961;65;2176580;2037897;4882000;2288124;2668245;1228303;301983;4646;13411197;11930934
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2012;106857851;93258;1719111;4360029;6920051;2286425;242175;0;15621050;674719;4041099;4929017;3947682;789862;325831;21;14708231;742580;4066267;9718063;13223699;2030141;2950;0;29783701;26653;182809;497260;1242531;1124898;3854371;2344619;9273141;2927817;11157761;4082482;84995;665;1;0;18253720;79490;2137598;4560065;2297346;1213059;787189;0;11074748;942694;4107260;1630834;1085987;196480;27098;17434;8007787;135473
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2012;46258742;195571;1170170;2941749;4608668;1161518;13582;0;10091257;7484;11283;118009;8777;2666;98;0;148317;1360896;4704411;11179220;16242271;1988316;594;6367;35482074;0;0;0;0;0;0;0;0;112266;93133;15574;40;0;0;0;221014;4730;3934;15729;18803;17951;37760;0;98907;4993;45085;64549;77613;17133;7800;0;217173;0
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2012;22422407;149427;2099216;5565785;9337691;2859741;105105;29;20116995;77894;39831;48069;37539;7963;538;0;211833;67600;169903;375767;331919;25114;1;0;970303;0;0;0;0;0;0;0;0;60128;977939;79;67;32;35;0;1038280;0;0;0;0;0;0;0;0;2945;9061;20130;37636;15223;0;0;84995;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2012;20057282;7937;82877;219722;359951;99922;6417;41;776868;609388;1542027;2196744;1008242;11983;0;8768;5377151;84915;551961;1317322;2158888;358988;635;8;4472716;4617;78939;180530;452474;232705;1694301;842581;3486149;519512;2106505;271684;12713;624;0;9274;2920312;19516;191190;596163;145897;35;0;0;952802;270989;406964;930624;346232;81033;23615;11827;2071284;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2012;12003729;7269;51132;127047;258706;67268;302;0;511723;106274;243676;551198;962831;117877;60;0;1981916;997;4983;13624;23363;1498;0;0;44465;558;10942;26667;65325;56864;189986;106835;457178;836281;5961089;1381625;350652;621;0;0;8530267;0;0;35230;0;0;0;0;35230;84154;241419;58181;48890;10218;9;78;442950;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2012;10890631;15927;476052;1292789;2448201;1057863;18238;19;5309089;46067;515909;336622;140100;38706;37025;3;1114431;832;23693;66648;126903;38975;708;0;257758;1445;31208;87673;234483;224598;752347;427829;1759582;21341;34451;8752;3427;0;0;0;67971;51081;94615;419829;225263;132025;187565;0;1110379;120719;621497;161370;224244;91443;51141;1006;1271421;0
