Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;;C;1;BRASILIA;DF;01/12/2015;55722882;214183;32503243;1096095;2062181;2712092;94310675;-51419030;-24112286;-128623;0;-14897305;-90557244;3753431;6239549;3850979;-10578238;-8285892;-1843001;4666396;8768117;-7567877;-4749967;-996536;-5682;-1002218;7394809;-720464;5672126;-2233168
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/12/2015;44857325;0;17409096;6855422;1755227;6294405;77171474;-45699552;-10681506;0;0;-10074089;-66455146;10716328;8570045;2216254;-10129780;-5301069;-1707293;777790;3271000;-9394240;-11697293;-980965;-393316;-1374280;5256384;-837044;3045060;-941532
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/12/2015;44257455;1750594;24473893;-4614143;3545299;3077355;72490453;-40272613;-21065699;-3514602;0;-14704700;-79557614;-7067161;8132649;4977192;-7538330;-10085732;-2352557;12962204;18041786;-18422756;5714456;-1352705;769712;-582994;13889915;-2368242;10938678;-3310406
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/12/2015;35581057;1353853;20719788;-5696496;4908222;2568586;59435009;-33430661;-18197948;-1117575;0;-11540660;-64286845;-4851836;4866232;4005078;-6774908;-8407921;-1691219;15758574;2095826;-7474195;2377467;-2474369;-335653;-2810022;11309745;0;8499723;-3127113
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/12/2015;50213370;0;6553564;2339808;297024;12;59403778;-1641688;-50059950;0;0;-1265148;-52966786;6436992;222705;0;-599812;-210345;-453364;-2683779;1212393;-534203;-3046406;3390586;-2749;3387838;-510124;-193755;2683959;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/12/2015;22901519;1161122;14199515;-7055717;0;2796879;34003319;-30117255;-1982319;-970451;-1167937;-7740546;-41978508;-7975190;4311273;1494512;-3340670;-5238550;-1147997;-105553;19849913;-13050129;2772798;-5202391;473774;-4728618;7899153;-712132;2458404;-1470061
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/12/2015;6390905;177728;2725174;1595248;271297;0;11160352;-7594926;-171195;-180192;0;-1823419;-9769732;1390621;231612;266775;-727866;-623460;-163338;78822;969438;-2014637;-1982653;-592032;-11259;-603292;890356;-73121;213943;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/12/2015;6195933;327200;3496660;494619;0;589349;11103760;-5937864;-839996;-257681;-786064;-2191563;-10013168;1090592;769358;746862;-2056221;-2758735;-290177;132032;1988626;-1256275;-2724530;-1633938;-75847;-1709786;936013;-11445;-785218;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/12/2015;3878814;443959;5685552;-822310;491467;77817;9755299;-7563491;-764419;-341334;0;-849263;-9518508;236791;294204;160282;-815886;-564393;-104722;773031;946991;-538446;151061;387853;-2370;385483;381132;0;766615;-544830
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/12/2015;1950255;66873;2218809;842809;652551;52858;5784156;-1488681;-1824672;-50949;0;-415426;-3779728;2004428;433397;149832;-646951;-819426;-144538;-1252;409698;-556386;-1175626;828802;-4676;824125;-175964;-117425;530737;0
