cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;set/14;1.296.741.724;79.934.771;132.919.202;343.445.993;390.742.977;226.158;349.472.624
C%;C - Conglomerado;set/14;68,39%;53,34%;71,86%;75,53%;51,75%;82,56%;99,51%
I;I - Instituição independente;set/14;599.272.702;69.912.532;52.040.628;111.252.476;364.285.579;47.770;1.733.718
I%;I - Instituição independente;set/14;31,61%;46,66%;28,14%;24,47%;48,25%;17,44%;0,49%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;1.489.156.924;116.233.994;165.936.532;393.271.035;462.518.593;259.399;350.937.370
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/14;78,54%;77,57%;89,71%;86,49%;61,26%;94,70%;99,92%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;54.053.485;5.553.255;11.248.337;23.921.074;13.058.286;3.561;268.972
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/14;2,85%;3,71%;6,08%;5,26%;1,73%;1,30%;0,08%
b3S;b3S - Cooperativa de Crédito Singulares;set/14;20.139.506;5.009.764;5.238.199;7.108.203;2.773.558;9.782;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/14;1,06%;3,34%;2,83%;1,56%;0,37%;3,57%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/14;945.726;49.049;75.054;420.743;400.881;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/14;0,05%;0,03%;0,04%;0,09%;0,05%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;set/14;322.811.091;22.283.305;1.618.235;25.512.961;273.396.544;46;0
b4%;b4 - Banco de Desenvolvimento;set/14;17,03%;14,87%;0,87%;5,61%;36,21%;0,02%;0,00%
n1;n1 - Não Bancário de Crédito;set/14;8.906.915;717.916;843.473;4.464.450;2.879.939;1.138;0
n1%;n1 - Não Bancário de Crédito;set/14;0,47%;0,48%;0,46%;0,98%;0,38%;0,42%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;set/14;779;20;0;4;754;1;0
n2%;n2 - Não Bancário de Mercado de Capitais;set/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;set/14;890.770.540;73.531.711;94.452.159;184.246.751;487.968.207;68.767;50.502.945
1%;1 - Público;set/14;46,98%;49,07%;51,07%;40,52%;64,63%;25,10%;14,38%
2;2 - Privado Nacional;set/14;727.463.903;53.480.768;59.985.406;170.712.129;177.213.674;162.354;265.909.571
2%;2 - Privado Nacional;set/14;38,37%;35,69%;32,43%;37,54%;23,47%;59,27%;75,71%
3;3 - Privado com Controle Estrangeiro;set/14;277.779.985;22.834.824;30.522.265;99.739.589;89.846.675;42.806;34.793.826
3%;3 - Privado com Controle Estrangeiro;set/14;14,65%;15,24%;16,50%;21,94%;11,90%;15,63%;9,91%
