cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;jun/12;962.414.076;98.367.619;125.135.684;305.900.854;249.940.529;501.219;182.568.171
C%;C - Conglomerado;jun/12;70,67%;68,84%;76,04%;89,06%;47,38%;70,10%;99,95%
I;I - Instituição independente;jun/12;399.400.092;44.516.490;39.419.389;37.562.472;277.598.219;213.820;89.701
I%;I - Instituição independente;jun/12;29,33%;31,16%;23,96%;10,94%;52,62%;29,90%;0,05%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;1.066.135.409;109.612.841;144.769.194;317.601.062;310.852.061;696.302;182.603.949
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;78,29%;76,71%;87,98%;92,47%;58,92%;97,38%;99,97%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;44.678.808;7.166.873;11.072.765;14.428.020;11.953.818;3.409;53.923
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;3,28%;5,02%;6,73%;4,20%;2,27%;0,48%;0,03%
b3S;b3S - Cooperativa de Crédito Singulares;jun/12;11.429.640;1.383.420;6.738.186;2.466.919;831.296;9.819;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/12;0,84%;0,97%;4,09%;0,72%;0,16%;1,37%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/12;703.679;267.302;308.260;75.809;52.304;3;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/12;0,05%;0,19%;0,19%;0,02%;0,01%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/12;232.814.681;23.832.537;1.198.861;5.126.051;202.657.206;26;0
b4%;b4 - Banco de Desenvolvimento;jun/12;17,10%;16,68%;0,73%;1,49%;38,42%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;jun/12;6.047.437;621.023;467.522;3.764.917;1.188.499;5.476;0
n1%;n1 - Não Bancário de Crédito;jun/12;0,44%;0,43%;0,28%;1,10%;0,23%;0,77%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;jun/12;4.514;113;285;547;3.565;4;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;jun/12;585.568.284;60.914.694;50.356.678;92.037.268;349.719.848;234.493;32.305.303
1%;1 - Público;jun/12;43,00%;42,63%;30,60%;26,80%;66,29%;32,79%;17,69%
2;2 - Privado Nacional;jun/12;557.906.664;62.808.366;73.343.772;171.287.040;122.654.752;446.032;127.366.702
2%;2 - Privado Nacional;jun/12;40,97%;43,96%;44,57%;49,87%;23,25%;62,38%;69,73%
3;3 - Privado com Controle Estrangeiro;jun/12;218.339.221;19.161.049;40.854.623;80.139.017;55.164.149;34.515;22.985.868
3%;3 - Privado com Controle Estrangeiro;jun/12;16,03%;13,41%;24,83%;23,33%;10,46%;4,83%;12,58%
