Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;41609;33010718;6135076;13434317;-210840;1138907;2579442;56087620;-23765431;-2299666;-5897530;0;-8732462;-40695089;15392531;6215823;3775950;-5518576;-8303595;-2764305;3938930;10516593;-14003408;-6142589;9249942;409776;9659718;-432201;-1456529;7770988;-2013193
BB;49906;b1;;C;1;BRASILIA;DF;41609;34579859;377953;15514621;140702;214195;2645846;53473176;-28728733;-5184635;-308208;0;-7401570;-41623145;11850031;6148371;3164283;-8666851;-7727961;-2404041;1936006;7369398;-4176847;-4357642;7492389;300562;7792951;-1159474;-751696;5881780;-1757905
BRADESCO;10045;b1;;C;2;OSASCO;SP;41609;26953439;3694695;10519320;-724669;1074927;1776216;43293928;-21403726;-3578130;-3311796;0;-6351199;-34644852;8649076;4039505;3086901;-5628964;-7536637;-1346019;4638173;4118380;-5197869;-3826530;4822546;-299245;4523300;1628189;0;6151489;-1158226
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41609;25852316;0;10530574;653503;0;3587139;40623532;-20524439;-4975180;0;-263267;-4869006;-30631892;9991640;7035824;1484297;-8412679;-4478347;-1265765;207316;4210128;-6705035;-7924263;2067377;-4951;2062426;2203340;-682995;3582770;-597691
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41609;19961233;1796554;6805581;677899;0;1333532;30574798;-13661474;-365207;-2341466;-400851;-6730320;-23499317;7075481;3801332;1470324;-3205839;-6486329;-1541346;149798;5041221;-7164901;-7935739;-860258;1861826;1001568;550793;-476797;1075564;-29454
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41609;20740713;0;5752186;-9110;0;0;26483789;-1065214;-19283317;0;-53230;-420275;-20822036;5661753;85648;0;-493753;-220645;-290528;1963641;780689;-1002779;822274;6484027;1646;6485673;-1464872;-132027;4888773;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41609;5474293;1001450;2174620;250311;132328;2557;9035559;-4649618;-325760;-953636;0;-2313664;-8242678;792881;258988;280106;-533340;-766259;-1323474;64977;2631739;-1751123;-1138385;-345504;-21617;-367122;494347;-165150;-37925;0
HSBC;51152;b1;;C;3;CURITIBA;PR;41609;4932294;539535;1918550;89046;355387;323716;8158529;-3257490;-173784;-469592;0;-1967698;-5868564;2289965;493873;781390;-1577544;-2199039;-319170;306688;767480;-605715;-2352036;-62071;-75724;-137795;201662;-107082;-43215;-252000
