cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;dez/17;1.131.448.877;67.275.770;81.850.569;231.543.888;437.374.765;0;29.096;313.374.788
C%;C - Conglomerado;dez/17;65,12%;60,55%;66,13%;72,00%;50,48%;0,00%;87,79%;99,68%
I;I - Instituição independente;dez/17;605.938.388;43.828.422;41.927.005;90.050.295;429.108.412;0;4.046;1.020.207
I%;I - Instituição independente;dez/17;34,88%;39,45%;33,87%;28,00%;49,52%;0,00%;12,21%;0,32%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;1.331.431.323;82.076.517;104.419.479;268.009.190;562.499.249;0;31.893;314.394.995
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/17;76,63%;73,87%;84,36%;83,34%;64,92%;0,00%;96,23%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;39.184.609;3.901.011;4.842.571;22.370.137;8.070.884;0;6;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/17;2,26%;3,51%;3,91%;6,96%;0,93%;0,00%;0,02%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;dez/17;33.525.963;5.965.366;11.194.223;14.831.937;1.533.250;0;1.186;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/17;1,93%;5,37%;9,04%;4,61%;0,18%;0,00%;3,58%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/17;1.210.048;19.255;103.791;1.063.143;23.858;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/17;0,07%;0,02%;0,08%;0,33%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/17;322.444.007;18.391.368;2.127.207;10.300.792;291.624.638;0;2;0
b4%;b4 - Banco de Desenvolvimento;dez/17;18,56%;16,55%;1,72%;3,20%;33,66%;0,00%;0,01%;0,00%
n1;n1 - Não Bancário de Crédito;dez/17;9.591.129;750.489;1.090.303;5.018.983;2.731.299;0;56;0
n1%;n1 - Não Bancário de Crédito;dez/17;0,55%;0,68%;0,88%;1,56%;0,32%;0,00%;0,17%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;dez/17;185;185;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/17;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;dez/17;0;0;0;0;0;0;0;0
n4%;n4 - Instituições de Pagamento;dez/17;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;dez/17;824.521.253;37.039.250;56.975.097;112.030.106;584.729.620;0;4.438;33.742.742
1%;1 - Público;dez/17;47,46%;33,34%;46,03%;34,84%;67,48%;0,00%;13,39%;10,73%
2;2 - Privado Nacional;dez/17;684.966.645;62.335.572;44.511.874;134.442.846;183.742.216;0;23.898;259.910.239
2%;2 - Privado Nacional;dez/17;39,43%;56,11%;35,96%;41,81%;21,21%;0,00%;72,11%;82,67%
3;3 - Privado com Controle Estrangeiro;dez/17;227.899.367;11.729.371;22.290.604;75.121.231;98.011.342;0;4.806;20.742.014
3%;3 - Privado com Controle Estrangeiro;dez/17;13,12%;10,56%;18,01%;23,36%;11,31%;0,00%;14,50%;6,60%
